short_alias,building_id,height,superficie,floors_est,units_est_meters,units_est_volume,pop_est
MELO-044,3945,,24.26,0,0,0,0
MELO-043,4642,,198.67,0,0,0,0
MELO-045,12819,,1159.52,0,0,0,0
MELO-042,15055,,184.63,0,0,0,0
MELO-040,4645,,38.28,0,0,0,0
MELO-041,4648,,191.41,0,0,0,0
MELO-038,7046,,61.42,0,0,0,0
MELO-019,7047,,91.68,0,0,0,0
MELO-039,11387,,37198.49,0,0,0,0
MELO-021,11391,,37299.77,0,0,0,0
MELO-020,12824,,55.41,0,0,0,0
MELO-028,4651,,342.78,0,0,0,0
MELO-006,4662,,73.27,0,0,0,0
MELO-027,15054,,622.81,0,0,0,0
MELO-029,4653,,246.72,0,0,0,0
MELO-002,4656,,174.92,0,0,0,0
MELO-001,4659,,204.57,0,0,0,0
MELO-046,15048,,53.23,0,0,0,0
MELO-047,15049,,87.54,0,0,0,0
MELO-048,15050,,90.0,0,0,0,0
MELO-030,15051,,74.59,0,0,0,0
MELO-004,15052,,62.43,0,0,0,0
MELO-003,15053,,83.31,0,0,0,0
MELO-005,4665,,47.4,0,0,0,0
MELO-031,4668,,57.55,0,0,0,0
MELO-032,4671,,58.84,0,0,0,0
MELO-033,4674,,80.95,0,0,0,0
MELO-012,7039,,267.14,0,0,0,0
MELO-023,7043,,118.03,0,0,0,0
MELO-024,7044,,132.56,0,0,0,0
MELO-011,7045,,238.74,0,0,0,0
MELO-009,7147,,34.31,0,0,0,0
MELO-010,7148,,71.99,0,0,0,0
MELO-026,11395,,37407.71,0,0,0,0
MELO-007,11398,,37547.79,0,0,0,0
MELO-022,12821,,47.25,0,0,0,0
MELO-008,12822,,70.09,0,0,0,0
MELO-025,12823,,49.59,0,0,0,0
MELO-013,7040,,415.9,0,0,0,0
MELO-014,7041,,179.77,0,0,0,0
MELO-015,7042,,195.34,0,0,0,0
MELO-018,7048,,383.42,0,0,0,0
MELO-016,7146,,327.32,0,0,0,0
MELO-017,12820,,372.47,0,0,0,0
MELO-037,11382,,37142.51,0,0,0,0
MELO-036,15056,,61.03,0,0,0,0
MELO-035,15057,,51.42,0,0,0,0
MELO-034,15058,,50.69,0,0,0,0
ZACC-038,5149,,93.89,0,0,0,0
ZACC-036,5150,,109.04,0,0,0,0
ZACC-041,5312,,147.0,0,0,0,0
ZACC-040,5313,,22.19,0,0,0,0
ZACC-042,5314,,132.45,0,0,0,0
ZACC-043,5315,,110.59,0,0,0,0
ZACC-044,5316,,417.73,0,0,0,0
ZACC-065,5317,,244.92,0,0,0,0
ZACC-063,5318,,359.32,0,0,0,0
ZACC-003,5319,,576.78,0,0,0,0
ZACC-048,5320,,179.93,0,0,0,0
ZACC-047,5321,,125.67,0,0,0,0
